n,start,act,floor,win,decisions,inputTokens,outputTokens,totalTokens,missingUsage,inputCostUSD,outputCostUSD,totalCostUSD
1,2026-09-17,1,17,False,243,777710,11853,789563,0,0.032664,0.000000,0.032664
2,2026-09-17,1,17,False,228,930803,17975,948778,0,0.039094,0.000000,0.039094
3,2026-09-17,1,17,False,210,1171076,23714,1194790,0,0.049185,0.000000,0.049185
4,2026-09-18,2,22,False,368,6577308,169739,6747047,0,0.276247,0.000000,0.276247
5,2026-09-18,1,7,False,132,2154842,83024,2237866,0,0.090503,0.000000,0.090503
6,2026-09-18,2,33,False,681,11119740,332449,11452189,0,0.467029,0.000000,0.467029
7,2026-09-18,1,8,False,126,1343608,87090,1430698,0,0.056432,0.000000,0.056432
8,2026-09-18,1,17,False,221,2630241,137112,2767353,0,0.110470,0.000000,0.110470
9,2026-09-18,1,17,False,208,2539188,136024,2675212,0,0.106646,0.000000,0.106646
10,2026-09-18,1,17,False,235,2719861,134918,2854779,0,0.114234,0.000000,0.114234
11,2026-09-18,2,22,False,340,4088533,203473,4292006,0,0.171718,0.000000,0.171718
12,2026-09-18,1,17,False,219,2608432,129495,2737927,0,0.109554,0.000000,0.109554
13,2026-09-18,2,31,False,414,5635318,283854,5919172,0,0.236683,0.000000,0.236683
14,2026-09-18,3,48,False,637,10117283,410126,10527409,0,0.424926,0.000000,0.424926
15,2026-09-18,2,33,False,549,8599951,463067,9063018,0,0.361198,0.000000,0.361198
16,2026-09-19,2,23,False,374,5415555,293600,5709155,0,0.227453,0.000000,0.227453
17,2026-09-19,1,17,False,280,4007190,234355,4241545,0,0.168302,0.000000,0.168302
18,2026-09-19,2,23,False,416,6943516,367960,7311476,0,0.291628,0.000000,0.291628
19,2026-09-19,1,17,False,260,3568295,195843,3764138,0,0.149868,0.000000,0.149868
20,2026-09-19,1,17,False,242,2943974,139651,3083625,0,0.123647,0.000000,0.123647
21,2026-09-19,1,17,False,204,2933306,152516,3085822,0,0.123199,0.000000,0.123199
22,2026-09-19,1,17,False,185,2603821,130461,2734282,0,0.109360,0.000000,0.109360
23,2026-09-19,3,48,False,638,11557466,425887,11983353,0,0.485414,0.000000,0.485414
24,2026-09-19,2,23,False,314,4371997,206028,4578025,0,0.183624,0.000000,0.183624
25,2026-09-19,2,33,False,387,6331977,300529,6632506,0,0.265943,0.000000,0.265943
26,2026-09-19,2,21,False,404,6351235,298340,6649575,0,0.266752,0.000000,0.266752
27,2026-09-19,2,33,False,464,7007647,274267,7281914,0,0.294321,0.000000,0.294321
28,2026-09-19,1,17,False,171,2041356,91427,2132783,0,0.085737,0.000000,0.085737
29,2026-09-19,1,17,False,242,3512171,172025,3684196,0,0.147511,0.000000,0.147511
30,2026-09-19,2,22,False,380,5722949,256034,5978983,0,0.240364,0.000000,0.240364
31,2026-09-19,2,29,False,509,8894870,392711,9287581,0,0.373585,0.000000,0.373585
32,2026-09-19,2,33,False,481,8222471,313605,8536076,0,0.345344,0.000000,0.345344
33,2026-09-19,2,33,False,496,9577181,394792,9971973,0,0.402242,0.000000,0.402242
